years_to_retire,salary,investment_amount_per_month,current_savings,monthly_expenses,debt,number_of_dependents,city,goal_savings
29,197800,46300.0,1791358,122400.0,242872,0,Chennai,17100000.0
15,154400,17300.0,1775650,105900.0,174277,0,Pune,4734000.0
8,160700,20900.0,301813,92000.0,234299,3,Chennai,2208000.0
21,20400,3300.0,549995,11700.0,16479,4,Chennai,1340000.0
19,97900,23600.0,1976348,56200.0,332420,0,Jaipur,7089000.0
23,135800,38800.0,362627,87800.0,124591,4,Hyderabad,10538000.0
11,21500,3500.0,887078,14400.0,41964,4,Kolkata,1326000.0
11,160000,32800.0,425004,87400.0,424697,0,Lucknow,4539000.0
24,155400,27100.0,1874779,88400.0,209048,5,Lucknow,9290000.0
24,117200,25300.0,411367,64300.0,69504,0,Pune,7334000.0
3,84000,18900.0,1278823,54300.0,85286,2,Jaipur,1925000.0
22,42100,8600.0,138004,23600.0,172242,3,Mumbai,2295000.0
2,71400,12700.0,64204,40700.0,2832,4,Delhi,354000.0
24,122800,33900.0,678588,85400.0,283792,3,Ahmedabad,9955000.0
30,31200,8100.0,238552,19300.0,160127,1,Pune,3009000.0
2,110400,33100.0,1158333,65600.0,282747,0,Pune,1913000.0
21,53300,9700.0,1922224,29400.0,417330,1,Lucknow,4245000.0
33,71700,7700.0,600306,41100.0,386740,5,Pune,3497000.0
12,116700,26900.0,154210,62700.0,104522,3,Mumbai,3835000.0
22,124100,31900.0,1583403,67100.0,235676,3,Lucknow,9585000.0
25,43300,12400.0,1095688,29400.0,77031,1,Bangalore,4630000.0
27,138500,14100.0,1789904,94700.0,129732,5,Chennai,6131000.0
28,124700,34400.0,210176,84800.0,209476,2,Ahmedabad,11192000.0
16,192000,39000.0,1200570,111500.0,161481,2,Mumbai,8315000.0
15,106300,18600.0,1881609,65600.0,336343,4,Lucknow,5063000.0
3,78800,11400.0,1692725,48900.0,233311,5,Ahmedabad,2083000.0
7,20000,5300.0,1425195,12000.0,12497,5,Pune,1848000.0
21,23800,4100.0,1216716,13400.0,457625,4,Kolkata,2198000.0
9,126400,27900.0,1756301,71800.0,177563,2,Delhi,4619000.0
18,85500,17300.0,1904666,59300.0,27965,0,Mumbai,5455000.0
4,99100,15100.0,526052,65900.0,155501,3,Jaipur,1215000.0
25,183500,47300.0,1618083,113100.0,288243,0,Mumbai,15101000.0
14,98700,15800.0,99030,51100.0,389349,1,Jaipur,2621000.0
9,24700,6400.0,1075408,14500.0,473358,0,Kolkata,1732000.0
26,21100,3800.0,1727555,12300.0,324522,2,Hyderabad,2854000.0
2,60300,6400.0,1061952,36200.0,124768,0,Lucknow,1208000.0
20,148000,37500.0,222308,84400.0,36202,5,Bangalore,8774000.0
28,164900,46100.0,885590,109600.0,58398,5,Bangalore,15603000.0
7,99900,12400.0,1884255,60100.0,273631,0,Delhi,2874000.0
8,115200,25000.0,1497477,78500.0,453262,3,Kolkata,3778000.0
35,106100,12100.0,512398,73100.0,345849,5,Ahmedabad,5341000.0
14,85700,22800.0,238362,50300.0,11227,0,Mumbai,3878000.0
17,171200,50900.0,1853059,94200.0,399292,1,Pune,11719000.0
4,152100,30300.0,402909,100200.0,431165,5,Hyderabad,1785000.0
2,105600,17200.0,200885,71400.0,97686,0,Pune,593000.0
6,27200,7300.0,1458001,14400.0,169523,1,Pune,1957000.0
4,81600,16700.0,1908707,49600.0,218395,4,Ahmedabad,2670000.0
29,17000,3200.0,848275,8500.0,359666,2,Lucknow,1906000.0
18,123700,18000.0,676653,68200.0,427227,5,Lucknow,4371000.0
26,157500,35200.0,1694901,105600.0,69532,4,Chennai,12130000.0
34,122800,27200.0,1669625,76200.0,17351,3,Hyderabad,12214000.0
